Title,Physical Date,PHY Date Week Num,PHY to TH,Physical W1 Units,Studio,Rating,Box Office,Franchise,Count of Awards, Action, Adventure,Animation, Biography, Comedy, Crime,Documentary, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Short, Sport, Thriller, War, Western
10 CLOVERFIELD LANE,6/14/2016,25,95,105646,Paramount Pictures,PG-13,72082998,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
12 STRONG,5/1/2018,18,102,136730,Warner Bros.,R,45500164,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15:17 TO PARIS,5/22/2018,21,102,48168,Warner Bros.,PG-13,36250957,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22 JUMP STREET,11/18/2014,47,158,305107,Sony Pictures,R,191719337,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300-RISE OF AN EMPIRE,6/24/2014,26,109,425500,Warner Bros.,R,87125205,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,2/16/2016,8,95,42274,Warner Bros.,PG-13,12227722,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45 YEARS,6/14/2016,25,291,1352,Paramount Pictures,R,4247285,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47 METERS DOWN,9/26/2017,39,102,65422,Lionsgate,PG-13,44307192,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5TH WAVE,5/3/2016,19,102,134695,Sony Pictures,PG-13,34916787,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7 DAYS IN ENTEBBE,7/3/2018,27,109,6387,Universal Studios,PG-13,3326885,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
